date,category,region,units_sold,unit_price,sales,profit,margin_pct
2024-01-01,Electronics,North,48,224.84,10792.32,1608.24,14.9
2024-01-01,Electronics,North,38,295.79,11240.02,1392.34,12.4
2024-01-01,Clothing,South,33,70.39,2322.87,1022.79,44.0
2024-01-01,Books,West,15,22.37,335.55,105.36,31.4
2024-01-01,Electronics,South,45,231.75,10428.75,1628.17,15.6
2024-01-01,Clothing,East,7,25.98,181.86,58.96,32.4
2024-01-01,Food & Beverage,East,52,7.3,379.6,103.21,27.2
2024-01-01,Electronics,West,6,311.86,1871.16,426.29,22.8
2024-01-01,Books,East,37,14.86,549.82,146.25,26.6
2024-01-02,Clothing,East,6,110.05,660.3,341.12,51.7
2024-01-02,Sports,East,30,183.49,5504.7,1612.69,29.3
2024-01-02,Food & Beverage,East,14,36.92,516.88,165.59,32.0
2024-01-02,Electronics,South,35,347.61,12166.35,1718.4,14.1
2024-01-02,Sports,East,60,184.55,11073.0,3669.48,33.1
2024-01-02,Food & Beverage,North,15,48.28,724.2,246.96,34.1
2024-01-02,Sports,East,5,79.14,395.7,161.68,40.9
2024-01-02,Food & Beverage,South,42,24.72,1038.24,370.59,35.7
2024-01-02,Sports,South,17,52.81,897.77,331.28,36.9
2024-01-03,Food & Beverage,West,58,31.26,1813.08,457.62,25.2
2024-01-03,Clothing,West,6,94.36,566.16,291.73,51.5
2024-01-03,Clothing,South,51,77.81,3968.31,1782.18,44.9
2024-01-03,Sports,West,39,259.09,10104.51,3292.28,32.6
2024-01-03,Books,North,44,35.72,1571.68,639.35,40.7
2024-01-03,Books,East,50,29.94,1497.0,412.66,27.6
2024-01-03,Sports,South,30,24.08,722.4,263.26,36.4
2024-01-03,Food & Beverage,South,33,41.46,1368.18,484.48,35.4
2024-01-04,Books,South,10,17.97,179.7,51.6,28.7
2024-01-04,Books,North,39,21.13,824.07,209.71,25.4
2024-01-04,Food & Beverage,East,16,7.99,127.84,45.46,35.6
2024-01-04,Electronics,North,47,326.73,15356.31,1980.93,12.9
2024-01-04,Books,South,9,26.2,235.8,110.3,46.8
2024-01-04,Clothing,East,34,111.94,3805.96,1544.4,40.6
