Month,Region,Sales,Profit
Jan,North,10000,2000
Jan,South,9000,1800
Jan,East,8000,1600
Jan,West,9500,1900
Feb,North,12000,2500
Feb,South,9500,2000
Feb,East,8500,1700
Feb,West,10000,2100
Mar,North,8000,1500
Mar,South,11000,2200
Mar,East,9000,1800
Mar,West,10500,2000
Apr,North,14000,3000
Apr,South,12000,2500
Apr,East,10000,2000
Apr,West,11500,2300
May,North,16000,3200
May,South,13000,2600
May,East,11000,2200
May,West,12000,2400
Jun,North,17000,3500
Jun,South,14000,2800
Jun,East,12000,2400
Jun,West,13000,2600
